id;prenom;nom;genre;age;vivant;fiction;celebre;pays_origine;Pays_residence;domaine_metier;metier;passe_metier;proche;enfants;groupe;ecran;religion;
1;fifty;Cent;M;20-40;1;0;1;USA;F;Musique;Chanteur;Chanteur Rap;0;1970;Americain du nord;;0;
2;Aaliyah;Aaliyah;M;20-40;0;0;1;USA;a;Musique;Chanteur;Chanteur Rnb;0;1970;Americain du nord;;0;
3;Abraham;Lincoln;M;40-60;0;0;1;USA;a;Politique;President ;16 eme President ;0;1800;Americain du nord;;0;
4;Adam;Brody;M;20-40;1;0;1;USA;a;Cinema;Acteur;Acteur dans une serie;0;1970;Americain du nord;Smallville;0;
5;Adam;Lambert;M;20-40;1;0;1;USA;a;Musique;Chanteur;Danseur;0;1980;Americain du nord;;0;
6;Adam;Sandler;M;40-60;1;0;1;USA;a;Cinema;Acteur;Acteur de film;0;1960;Americain du nord;WaterBoy;0;
7;Adele;Adele;F;20-40;1;0;1;UK;a;Musique;Chanteur;Chanteur Pop;0;1980;Europeen;;0;
8;Adriana;Karembeu;F;40-60;1;0;1;Slovaquie;a;Mode;Mannequin;Egerie de Dior;0;1970;Europeen;;0;
9;Adriana;Lima;F;20-40;1;0;1;Bresil;a;Mode;Mannequin;Egerie de Victoria's Secret;0;1980;Americain du sud;;0;
10;Adrien;Brody;M;40-60;1;0;1;USA;a;Cinema;Acteur;Acteur de film;0;1970;Americain du nord;Le pianiste;0;
11;Aishwarya;Rai;F;40-60;1;0;1;Inde;a;Cinema;Actrice;Mannequin;0;1970;D'Asie;;0;
12;Al;Pacino;M;60-80;1;0;1;USA;a;Cinema;Acteur;Acteur de film;0;1940;Americain du nord;Le parrain;0;
13;Alain;Bashung;M;60-80;0;0;1;France;a;Musique;Chanteur;Chanteur Variete;0;1940;Europeen;;0;
14;Alain;Delon;M;60-80;1;0;1;France;a;Cinema;Acteur;Acteur de film ;0;1930;Europeen;La piscine;0;
15;Alain;Souchon;M;60-80;1;0;1;France;a;Musique;Chanteur;Chanteur Variete;0;1940;Europeen;;0;
16;Alan;Rickman;M;60-80;1;0;1;UK;a;Cinema;Acteur;Acteur de film;0;1940;Europeen;Galaxy Quest;0;
17;Alanis;Morissette;F;20-40;1;0;1;Canada;a;Musique;Chanteuse;Chanteur Pop;0;1970;Americain du nord;;0;
18;Albert;Einstein;M;60-80;0;0;1;Allemagne;a;Physique;Inventeur Mecanique quantique;Inventeur Mecanique quantique;0;1970;Europeen;;0;
19;Alec;Baldwin;M;40-60;1;0;1;USA;a;Cinema;Acteur;Acteur de film;0;1950;Americain du nord;Les infiltres;0;
20;Alessandra;Ambrosio;F;20-40;1;0;1;Bresil;a;Mode;Mannequin;Egerie de Guess;0;1980;Americain du sud;;0;
21;Alex;Oloughlin;M;20-40;1;0;1;Australie;a;Cinema;Acteur;Acteur de film ;0;1970;D'Oceanie;Oyster Farmer;0;
22;Alexander;Skarsgard;M;20-40;1;0;1;Suede;a;Cinema;Acteur;Acteur dans une serie;0;1970;Europeen;True Blood;0;
23;Alfred;Hitchcock;M;80-120;0;0;1;UK;a;Cinema;Realisateur;Acteur de film ;0;1880;Europeen;Psychose;0;
24;Alice;Cooper;M;60-80;1;0;1;USA;a;Musique;Chanteur;Chanteur Hard rock;0;1940;Americain du nord;;0;
25;Alicia;Keys;F;20-40;1;0;1;USA;a;Musique;Chanteuse;Chanteur Soul;0;1980;Americain du nord;;0;
26;Alicia;Silverstone;F;20-40;1;0;1;USA;a;Cinema;Actrice;Acteur de film ;0;1970;Americain du nord;Clueless;0;
27;Alicia;Witt;F;20-40;1;0;1;USA;a;Cinema;Actrice;Acteur de film ;0;1970;Americain du nord;Vanilla Sky;0;
28;Alizee;Alizee;F;20-40;1;0;1;France;a;Musique;Chanteuse;Chanteur Pop ;0;1980;Europeen;;0;
29;Allison;Mack;F;20-40;1;0;1;USA;a;Cinema;Actrice;Acteur dans une serie;0;1980;Americain du nord;smallville;0;
30;Alyson;Hannigan;F;20-40;1;0;1;USA;a;Cinema;Actrice;Actrice dans une serie;0;1970;Americain du nord;How I met your mother;0;
31;Alyssa;Milano;F;40-60;1;0;1;USA;a;Cinema;Actrice;Acteur dans une serie;0;1970;Americain du nord;Charmed;0;
32;Amanda;Seyfried;F;20-40;1;0;1;USA;a;Cinema;Actrice;Actrice film;0;1980;Americain du nord;Lolita malgre moi;0;
33;Amel;Bent;F;20-40;1;0;1;France;a;Musique;Chanteuse;Chanteuse Rnb;0;1980;Europeen;;0;
34;Amitabh;Bachchan;M;60-80;1;0;1;Inde;a;Cinema;Acteur;Acteur de film;0;1940;D'Asie;Black ;0;
35;Amy;Lee;F;20-40;1;0;1;USA;a;Musique;Chanteuse;Chanteuse Rock;0;1980;Americain du nord;;0;
36;Amy;Winehouse;F;20-40;0;0;1;UK;a;Musique;Chanteuse;Chanteuse Jazz;0;1980;Europeen;;0;
37;Ana;Beatriz-barros;F;20-40;1;0;1;Bresil;a;Mode;Mannequin;Egerie de Guess;0;1980;Americain du sud;;0;
38;Anastacia;Newkirk ;F;40-60;1;0;1;USA;a;Musique;Chanteuse;Chanteuse Pop;0;1960;Americain du nord;;0;
39;Andie;MacDowell;F;40-60;1;0;1;USA;a;Cinema;Actrice;Actrice de film;0;1950;Americain du nord;Quatre marriages et un enterrement;0;
40;Andrea;Bocelli;M;40-60;1;0;1;Italie;a;Musique;Chanteur;Chanteur Pop;0;1950;Europeen;;0;
41;Andy;Garcia;M;40-60;1;0;1;Cuba;a;Cinema;Acteur;Acteur de film;0;1950;Americain du nord;Le parrain 3;0;
42;Andy;Warhol;M;40-60;0;0;1;USA;a;Art;Peintre;Peintre pop art;0;1920;Americain du nord;;0;
43;Angelina;Jolie;F;20-40;1;0;1;USA;a;Cinema;Actrice;Actrice à Hollywood;0;1970;Americain du nord;Tomb Raider;0;
44;Angie;Everhart;F;40-60;1;0;1;USA;a;Cinema;Mannequin;Egerie dans Elle;0;1960;Americain du nord;Last Action Hero;0;
45;Angus;Young;M;40-60;1;0;1;Australie;a;Musique;Guitariste;Guitariste Rock;0;1950;D'Oceanie;;0;
46;Anna;Kournikova;F;20-40;1;0;1;Russie;a;Sport;Joueuse de Tennis;Joueuse de Tennis;0;1980;Europeen;;0;
47;Anna;Paquin;F;20-40;1;0;1;Nouvelle-zelande;a;Cinema;Actrice;Actrice de film;0;1980;D'Oceanie;Holly Hunter;0;
48;Anna;Popplewell;F;20-40;1;0;1;UK;a;Cinema;Actrice;Actrice de film;0;1980;Europeen;Le Monde de Narnia;0;
49;Anna;Torv;F;20-40;1;0;1;Australie;a;Cinema;Actrice;Acteur dans une serie;0;1970;D'oceanie;Fringe;0;
50;Anne;Hathaway;F;20-40;1;0;1;USA;a;Cinema;Actrice;Actrice de film;0;1980;Americain du nord;Le diable s'habille en Prada;0;
51;Annie;Girardot;M;60-80;0;0;1;France;a;Cinema;Actrice;Actrice de film;0;1930;Europeen;Vivre pour vivre;0;
52;Anthony;Hopkins;M;60-80;1;0;1;UK;a;Cinema;Acteur;Acteur de film;0;1930;Europeen;Le Silence des agneaux;0;
53;Anthony;Kiedis;M;40-60;1;0;1;USA;a;Musique;Chanteur;Chanteur Rock;0;1960;Americain du nord;;0;
54;Anthony;Quinn;M;80-120;0;0;1;USA;a;Cinema;Acteur;Acteur de film;0;1910;Americain du nord;Viva Zapata !;0;
55;Antonio;Banderas;M;40-60;1;0;1;USA;a;Cinema;Acteur;Acteur de film;0;1960;Americain du nord;Le masque de Zorro;0;
56;Aretha;Franklin;F;60-80;1;0;1;USA;a;Musique;Chanteuse;Chanteuse Soul;0;1940;Americain du nord;;0;
57;Arnold;Schwarzenegger;M;60-80;1;0;1;Autriche;a;Politique;Gouverneur ;Acteur de film;0;1940;Europeen;;0;
58;Ashanti;Shequoiya;F;20-40;1;0;1;USA;a;Musique;Chanteuse;Chanteuse Rnb;0;1980;Americain du nord;Resident Evil ;0;
59;Ashlee;Simpson;F;20-40;1;0;1;USA;a;Musique;Chanteuse;Chanteuse Pop;0;1980;Americain du nord;;0;
60;Ashley;Greene;F;20-40;1;0;1;USA;a;Cinema;Actrice;Actrice film;0;1980;Americain du nord;Twilight;0;
61;Ashley;Judd;F;40-60;1;0;1;USA;a;Cinema;Actrice;Actrice de film;0;1960;Americain du nord;Ruby in Paradise;0;
62;Ashley;Olsen;F;20-40;1;0;1;USA;a;Cinema;Actrice;Acteur dans une serie;0;1980;Americain du nord;Marykate & Ashley ;0;
63;Ashley;Tisdale;F;20-40;1;0;1;USA;a;Cinema;Actrice;Actrice de film;0;1980;Americain du nord;High School Musical;0;
64;Ashton;Kutcher;F;20-40;1;0;1;USA;a;Cinema;Acteur;Acteur de film;0;1970;Americain du nord;L'Effet papillon;0;
65;Aubrey;Graham;M;20-40;1;0;1;Canada;a;Musique;Chanteur;Chanteur Rap;0;1980;Americain du nord;;0;
66;Audrey;Hepburn;M;60-80;0;0;1;UK;a;Cinema;Actrice;Actrice de film;0;1920;Europeen;Roman Holidays;0;
67;Audrey;Tautou;F;20-40;1;0;1;France;a;Cinema;Actrice;Actrice de film;0;1970;Europeen;Le Fabuleux Destin d'Amelie Poulain;0;
68;Ava;Gardner;M;60-80;0;0;1;USA;a;Cinema;Actrice;Actrice de film;0;1920;Americain du nord;Mogambo;0;
69;Avril;Lavigne;F;20-40;1;0;1;Canada;a;Musique;Chanteuse;Chanteuse Rock;0;1980;Americain du nord;;0;
70;Axl;Rose;M;40-60;1;0;1;USA;a;Musique;Chanteur;Chanteur Rock;0;1960;Americain du nord;;0;
71;Ayrton;Senna;M;20-40;0;0;1;Bresil;a;Sport;Pilote;Pilote Automobile;0;1960;Americain du sud;;0;
72;Ayumi;Hamasaki;F;20-40;1;0;1;Japon;a;Musique;Chanteuse;Chanteuse Pop;0;1970;D'Asie;;0;
73;Barack;Obama;M;40-60;1;0;1;USA;B;Politique;President ;44 eme President;0;1960;Americain du nord;;0;
74;Barbara;Barbara;M;60-80;0;0;1;France;B;Musique;Chanteuse;Chanteuse Variete;0;1930;Europeen;;0;
75;Barbara;Streisand;F;60-80;1;0;1;USA;B;Musique;Chanteuse;Chanteuse BO;0;1940;Americain du nord;;0;
76;Barry;Manilow;M;60-80;1;0;1;USA;B;Musique;Chanteur;Chanteur Rock;0;1940;Americain du nord;;0;
77;Barry;White;M;40-60;0;0;1;USA;B;Musique;Chanteur;Chanteur Blues;0;1940;Americain du nord;;0;
78;Bela;Lugosi;M;60-80;0;0;1;Hongrois;B;Cinema;Acteur;Acteur de film;0;1880;Americain du nord;Dracula;0;
79;Ben;Affleck;M;40-60;1;0;1;USA;B;Cinema;Acteur;Acteur de film;0;1970;Americain du nord;Gone Girl;0;
80;Ben;Barnes;M;20-40;1;0;1;UK;B;Cinema;Acteur;Acteur de film ;0;1980;Europeen;Split Decision;0;
81;Ben;Harper;M;40-60;1;0;1;USA;B;Musique;Chanteur;Chanteur Rock;0;1960;Americain du nord;;0;
82;Ben;Stiller;M;40-60;1;0;1;USA;B;Cinema;Acteur;Acteur de film;0;1960;Americain du nord;Starky et  Hutch;0;
83;Benedict;Cumberbatch;M;20-40;1;0;1;UK;B;Cinema;Acteur;Acteur de film;0;1970;Europeen;Sherlock Holmes;0;
84;Benicio;Del-Toro;M;40-60;1;0;1;USA;B;Cinema;Acteur;Acteur de film;0;1960;Americain du nord;Las Vegas Parano;0;
85;Benoit;Poelvoorde;M;40-60;1;0;1;Belgique;B;Cinema;Acteur;Acteur de film;0;1960;Europeen;Podium;0;
86;Bernard;Blier;M;60-80;0;0;1;France;B;Cinema;Acteur;Acteur de film;0;1910;Europeen;Les tontons flingueurs;0;
87;Bette;Davis;M;80-120;0;0;1;USA;B;Cinema;Actrice;Actrice de film et television;0;1900;Americain du nord;Eve;0;
88;Bettie;Page;M;80-120;0;0;1;USA;B;Mode;Mannequin;Pimp-up;0;1920;Americain du nord;;0;
89;Beyonce;Knowles;F;20-40;1;0;1;USA;B;Musique;Chanteuse;Chanteuse Rnb;0;1980;Americain du nord;;0;
90;Bill;Kaulitz;M;20-40;1;0;1;Allemagne;B;Musique;Chanteur;Chanteur Rock;0;1980;Europeen;;0;
91;Bill;Murray;M;60-80;1;0;1;USA;B;Cinema;Acteur;Acteur de film;0;1950;Americain du nord;Lost in translation;0;
92;Bill;Nighy;M;60-80;1;0;1;UK;B;Cinema;Acteur;Acteur de film ;0;1940;Europeen;Pirate des Caraibes;0;
93;Billie;holliday;M;40-60;0;0;1;USA;B;Musique;Chanteuse;Chanteuse Jazz;0;1910;Americain du nord;;0;
94;Billy-Joe;Armstrong;M;40-60;1;0;1;USA;B;Musique;Chanteur;Chanteur Rock;0;1970;Americain du nord;;0;
95;Billie;Piper;F;20-40;1;0;1;UK;B;Cinema;Actrice;Actrice de film et television;0;1980;Europeen;Doctor Who;0;
96;Billy;Boyd;M;40-60;1;0;1;UK;B;Cinema;Acteur;Acteur de film;0;1960;Europeen;Le seigneur des anneaux;0;
97;Billy;Idol;M;40-60;1;0;1;UK;B;Musique;Chanteur;Chanteur Rock;0;1950;Europeen;;0;
98;Bjork;Guðmundsdóttir;F;40-60;1;0;1;Islande;B;Musique;Chanteuse;Chanteuse Pop;0;1960;Europeen;;0;
99;Blake;Lively;F;20-40;1;0;1;USA;B;Cinema;Actrice;Actrice dans une serie;0;1980;Americain du nord;Gossip Girl;0;
100;Bob;Dylan;M;60-80;1;0;1;USA;B;Musique;Chanteur;Chanteur Folk;0;1940;Americain du nord;;0;
101;Bob;Marley;M;20-40;0;0;1;Jamaique;B;Musique;Chanteur;Chanteur Reggae;0;1940;Americain du sud;;0;
102;Bonnie;Tyler;F;60-80;1;0;1;UK;B;Musique;Chanteuse;Chanteuse Rock;0;1950;Europeen;;0;
103;Bonnie;Wright;F;20-40;1;0;1;UK;B;Cinema;Actrice;Actrice de film;0;1990;Europeen;Harry Potter;0;
104;Bono;Bono;M;40-60;1;0;1;Irlande;B;Musique;Chanteur;Chanteur Rock;0;1960;Europeen;;0;
105;Boris;Karloff;M;80-120;0;0;1;UK;B;Cinema;Acteur;Acteur de film;0;1880;Europeen;Frankenstein;0;
106;Bourvil;Bourvil;M;40-60;0;0;1;France;B;Cinema;Acteur;Acteur de film;0;1910;Europeen;La grande vadrouille;0;
107;Boy;George;M;40-60;1;0;1;UK;B;Musique;DJ;DJ New wave;0;1960;Europeen;;0;
108;Brad;Pitt;M;40-60;1;0;1;USA;B;Cinema;Acteur;Acteur de film;0;1960;Americain du nord;Seven;0;
109;Brandon;Boyd;M;20-40;1;0;1;USA;B;Musique;Chanteur;Chanteur Rock;0;1960;Americain du nord;;0;
110;Brandon;Flowers;M;20-40;1;0;1;USA;B;Musique;Chanteur;Chanteur Rock;0;1980;Americain du nord;;0;
111;Brandon;Lee;M;20-40;0;0;1;USA;B;Cinema;Acteur;Acteur de film;0;1980;Americain du nord;The Crow;0;
112;Brandy;Norwood;F;20-40;1;0;1;USA;B;Musique;Chanteuse;Chanteuse Pop;0;1970;Americain du nord;;0;
113;Brendan;Fraser;M;40-60;1;0;1;USA;B;Cinema;Acteur;Acteur de film;0;1960;Americain du nord;George de la Jungle;0;
114;Brendon;Urie;M;20-40;1;0;1;USA;B;Musique;Chanteur;Chanteur Rock;0;1980;Americain du nord;;0;
115;Brian;Molko;M;40-60;1;0;1;Belgique;B;Musique;Chanteur;Chanteur Rock;0;1970;Europeen;;0;
116;Brigitte;Bardot;F;60-80;1;0;1;France;B;Cinema;Actrice;Actrice de film;0;1930;Europeen;Et dieu crea la femme;0;
117;Britney;Spears;F;20-40;1;0;1;USA;B;Musique;Chanteuse;Chanteuse Pop;0;1980;Americain du nord;;0;
118;Brittany;Murphy;M;20-40;0;0;1;USA;B;Cinema;Actrice;Actrice de film;0;1970;Americain du nord;8 miles;0;
119;Brooke;Shields;F;40-60;1;0;1;USA;B;Cinema;Actrice;Actrice de film;0;1960;Americain du nord;Le lagon Bleu;0;
120;Bruce;Lee;M;20-40;0;0;1;USA;B;Cinema;Acteur;Acteur de film;0;1980;Americain du nord;La fureur du dragon;0;
121;Bruce;Springsteen;M;60-80;1;0;1;USA;B;Musique;Chanteur;Chanteur Rock;0;1940;Americain du nord;;0;
122;Bruce;Willis;M;40-60;1;0;1;USA;B;Cinema;Acteur;Acteur de film;0;1950;Americain du nord;Men in black;0;
123;Bruno;Mars;M;20-40;1;0;1;USA;B;Musique;Chanteur;Chanteur Pop;0;1980;Americain du nord;;0;
124;Burt;Lancaster;M;80-120;0;0;1;USA;B;Cinema;Acteur;Acteur de film ;0;1910;Americain du nord;Elmer Gantry ;0;
125;Busta;Rhymes;M;40-60;1;0;1;Jamaique;B;Musique;Chanteur;Chanteur Rap;0;1970;D'Amerique centrale;;0;
126;Buster;Keaton;M;60-80;0;0;1;USA;B;Cinema;Acteur;Acteur de film ;0;1890;Americain du nord;L'operateur;0;
127;Calista;Flockhart;F;40-60;1;0;1;USA;C;Cinema;Actrice;Actrice dans une serie;0;1960;Americain du nord;Ally McBeal;0;
128;Calogero;Maurici;M;40-60;1;0;1;France;C;Musique;Chanteur;Chanteur Pop;0;1970;Europeen;;0;
129;Cameron;Diaz;F;40-60;1;0;1;USA;C;Cinema;Actrice;Actrice de film;0;1970;Americain du nord;The Mask;0;
130;Carla;Bruni;F;40-60;1;0;1;France;C;Politique;Epouse;Epouse president Sarkosi;0;1960;Europeen;;0;
131;Carmen;Electra;F;40-60;1;0;1;USA;C;Cinema;Actrice;Actrice de film;0;1970;Americain du nord;Alerte à Malibu;0;
132;Carole;Bouquet;F;40-60;1;0;1;France;C;Cinema;Actrice;Actrice de film;0;1950;Europeen;Trop belle pour toi;0;
133;Carrie;Fisher;F;40-60;1;0;1;USA;C;Cinema;Actrice;Actrice de film;0;1950;Americain du nord;Star Wars;0;
134;Carrie;Underwood;F;20-40;1;0;1;USA;C;Musique;Chanteuse;Chanteuse Country;0;1980;Americain du nord;;0;
135;Carrie-Anne;Moss;F;40-60;1;0;1;Canada;C;Cinema;Actrice;Actrice de film;0;1970;Americain du nord;Matrix;0;
136;Cary;Grant;M;80-120;0;0;1;USA;C;Cinema;Acteur;Acteur de film;0;1900;Americain du nord;La mort aux trousses;0;
137;Kate;Blanchet;F;40-60;1;0;1;Australie;K;Cinema;Actrice;Actrice de film;0;1960;D'Oceanie;Le seigneur des anneaux;0;
138;Catherine;Bell;F;40-60;1;0;1;USA;C;Cinema;Actrice;Actrice dans une serie;0;1960;Americain du nord;Jag;0;
139;Catherine;Deneuve;F;60-80;1;0;1;France;C;Cinema;Actrice;Actrice de film;0;1940;Europeen;Les demoiselles de Rochefort;0;
140;Catherine;Zeta-Jones;F;40-60;1;0;1;UK;C;Cinema;Actrice;Actrice de film;0;1960;Europeen;Le masque de Zorro;0;
141;Celine;Dion;F;40-60;1;0;1;Canada;C;Musique;Chanteuse;Chanteuse Pop;0;1960;Americain du nord;;0;
142;Chad;Michael-Murray;M;20-40;1;0;1;USA;C;Cinema;Acteur;Acteur dans une serie;0;1980;Americain du nord;Les freres scott;0;
143;Channing;Tatum;M;20-40;1;0;1;USA;C;Cinema;Acteur;Acteur de film;0;1980;Americain du nord;La guerre des mondes;0;
144;Charisma;Carpenter;F;40-60;1;0;1;USA;C;Cinema;Actrice;Acteur dans une serie;0;1970;Americain du nord;Buffie contre les vampires;0;
145;Charles;Aznavour;M;80-120;1;0;1;France;C;Musique;Chanteur;Chanteur Variete;0;1920;Europeen;;0;
146;Charles;Bronson;M;80-120;0;0;1;USA;C;Cinema;Acteur;Acteur de film;0;1920;Americain du nord;Il etait une fois dans l'ouest;0;
147;Charles;Trenet;M;80-120;0;0;1;France;C;Musique;Chanteur;Chanteur Variete;0;1910;Europeen;;0;
148;Charlie;Chaplin;M;80-120;0;0;1;UK;C;Cinema;Acteur;Acteur de film;0;1880;Europeen;Le dictateur;0;
149;Charlie;Sheen;M;40-60;1;0;1;USA;C;Cinema;Acteur;Acteur de film;0;1960;Americain du nord;Two and a half men;0;
150;Charlize;Theron;F;20-40;1;0;1;Afrique du sud;C;Cinema;Actrice;Actrice dans une serie;0;1970;Africain;Monster;0;
151;Charlotte;Gainsbourg;F;40-60;1;0;1;France;C;Musique;Chanteuse;Chanteuse Variete;0;1970;Europeen;;0;
152;Charlton;Heston;M;80-120;0;0;1;USA;C;Cinema;Acteur;Acteur de film ;0;1920;Americain du nord;Ben hur;0;
153;Che;Guevara;M;20-40;0;0;1;Argentine;C;Politique;homme politique;Leader Marxiste;0;1928;Americain du sud;;0;
154;Cher;Cher;F;60-80;1;0;1;USA;C;Musique;Chanteuse;Chanteuse Pop;0;1940;Americain du nord;;0;
155;Cheryl;Cole;F;20-40;1;0;1;UK;C;Musique;Chanteuse;Chanteuse Pop;0;1980;Europeen;;0;
156;Chester;Bennington;M;20-40;1;0;1;USA;C;Musique;Chanteur;Chanteur metal;0;1970;Americain du nord;;0;
157;Chris;Brown;M;20-40;1;0;1;USA;C;Musique;Chanteur;Chanteur Rnb;0;1980;Americain du nord;;0;
158;Chris;Martin;M;20-40;1;0;1;UK;C;Musique;Chanteur;Chanteur Pop;0;1970;Europeen;;0;
159;Chris;Odonnell;M;40-60;1;0;1;USA;C;Cinema;Acteur;Acteur de film ;0;1970;Americain du nord;Max Payne;0;
160;Chris;Rock;M;40-60;1;0;1;USA;C;Cinema;Acteur;Acteur de film ;0;1960;Americain du nord;Bad company;0;
161;Christian;Bale;M;20-40;1;0;1;UK;C;Cinema;Acteur;Acteur de film ;0;1970;Europeen;The dark knight;0;
162;Christian;Slater;M;40-60;1;0;1;USA;C;Cinema;Acteur;Acteur de film ;0;1960;Americain du nord;Le nom de la rose;0;
163;Christina;Aguilera;F;20-40;1;0;1;USA;C;Musique;Chanteuse;Chanteuse Rnb;0;1980;Americain du nord;;0;
164;Christina;Applegate;F;40-60;1;0;1;USA;C;Cinema;Actrice;Actrice dans une serie;0;1970;Americain du nord;Mariee deux enfants;0;
165;Christina;Milian;F;20-40;1;0;1;USA;C;Musique;Chanteuse;Chanteuse Rnb;0;1980;Americain du nord;;0;
166;Christina;Ricci;F;20-40;1;0;1;USA;C;Cinema;Actrice;Actrice de film;0;1980;Americain du nord;La famille adams;0;
167;Christophe;Mae;M;20-40;1;0;1;France;C;Musique;Chanteur;Chanteur Variete;0;1970;Europeen;;0;
168;Christophe;Willem;M;20-40;1;0;1;France;C;Musique;Chanteur;Chanteur Pop;0;1980;Europeen;;0;
169;Christopher;Lee;M;80-120;1;0;1;UK;C;Cinema;Acteur;Acteur de film;0;1960;Europeen;Le seigneur des anneaux;0;
170;Christopher;Reeves;M;40-60;0;0;1;USA;C;Cinema;Acteur;Acteur de film;0;1950;Americain du nord;Superman;0;
171;Christopher;Walken;M;60-80;1;0;1;USA;C;Cinema;Acteur;Acteur de film;0;1940;Americain du nord;Voyage au bout de l'enfer;0;
172;Cillian;Murphy;M;20-40;1;0;1;Irlande;C;Cinema;Acteur;Acteur de film;0;1970;Europeen;Batman Begins;0;
173;Cindy;Crawford;F;40-60;1;0;1;USA;C;Mode;Mannequin;Egerie de Revlon;0;1960;Americain du nord;;0;
174;Claire;Danes;F;20-40;1;0;1;USA;C;Cinema;Actrice;Actrice dans une serie;0;1970;Americain du nord;Homeland;0;
175;Clara;Morgane;F;20-40;1;0;1;France;C;Cinema;Actrice;Actrice de film;0;1980;Europeen;Film pornographiques;0;
176;Clark;Gable;M;40-60;0;0;1;USA;C;Cinema;Acteur;Acteur de film;0;1900;Americain du nord;New-York Miami;0;
177;Claude;Francois;M;20-40;0;0;1;France;C;Musique;Chanteur;Chanteur Variete;0;1940;Europeen;;0;
178;Claudia;Cardinale;F;60-80;1;0;1;Italie;C;Cinema;Actrice;Acteur de film;0;1930;Europeen;Il etait une fois dans l'ouest;0;
179;Claudia;Schiffer;F;40-60;1;0;1;Allemagne;C;Mode;Mannequin;Egerie Karl Lagerfeld;0;1970;Europeen;;0;
180;Clint;Eastwood;M;80-120;1;0;1;USA;C;Cinema;Acteur;Acteur de film;0;1930;Americain du nord;Grand Torino;0;
181;Clive;Owen;M;40-60;1;0;1;UK;C;Cinema;Acteur;Acteur de film;0;1960;Europeen;Closer;0;
182;Colin;Farrell;M;20-40;1;0;1;Irlande;C;Cinema;Acteur;Acteur de film;0;1970;Europeen;Phone game;0;
183;Colin;Firth;M;40-60;1;0;1;UK;C;Cinema;Acteur;Acteur de film;0;1960;Europeen;Le discour d'un roi;0;
184;Colin;Morgan;M;20-40;1;0;1;Irlande;C;Cinema;Acteur;Acteur dans une serie;0;1980;Europeen;Merlin;0;
185;Colin;Vearncombe;M;40-60;1;0;1;UK;C;Musique;Chanteur;Chanteur Rock;0;1960;Europeen;;0;
186;Coluche;Coluche;M;40-60;0;0;1;France;C;Spectacle;humoriste;humoriste;0;1940;Europeen;;0;
187;Cote;De-Pablo;F;20-40;1;0;1;Chili;C;Cinema;Actrice;Actrice dans une serie;0;1970;Americain du sud;NCIS;0;
188;Courtney;Cox;F;40-60;1;0;1;USA;C;Cinema;Actrice;Actrice dans une serie;0;1960;Americain du nord;Friends;0;
189;Courtney;Love;F;40-60;1;0;1;USA;C;Musique;Chanteuse;Chanteuse Rock;0;1960;Americain du nord;;0;
190;Craig;David;M;20-40;1;0;1;UK;C;Musique;Chanteur;Chanteur Rnb;0;1980;Europeen;;0;
191;Cristiano;Ronaldo;M;20-40;1;0;1;Portugal;C;Sport;footballeur;footballeur national;0;1980;Europeen;;0;
192;Cindy;Lauper;F;60-80;1;0;1;USA;C;Musique;Chanteuse;Chanteuse Pop;0;1950;Americain du nord;;0;
193;Dakota;Fanning;F;0-20;1;0;1;USA;D;Cinema;Actrice;Actrice de film;0;1990;Americain du nord;Twilight;0;
194;Dalida;Dalida;M;40-60;0;0;1;France;D;Musique;Chanteuse;Chanteuse Variete;0;1930;Europeen;;0;
195;Damon;Albarn;M;40-60;1;0;1;UK;D;Musique;Chanteur;Chanteur Rock;0;1960;Europeen;;0;
196;Dan;Aykroyd;M;60-80;1;0;1;Canada;D;Cinema;Acteur;Acteur de film;0;1950;Americain du nord;The blues brothers;0;
197;Daniel;Auteuil;M;60-80;1;0;1;France;D;Cinema;Acteur;Acteur de film;0;1950;Europeen;Le placard;0;
198;Daniel;Balavoine;M;20-40;0;0;1;France;D;Musique;Chanteur;Chanteur Variete;0;1950;Europeen;;0;
199;Daniel;Craig;M;40-60;1;0;1;UK;D;Cinema;Acteur;Acteur de film;0;1960;Europeen;Skyfall;0;
200;Daniel;Day-Lewis;M;40-60;1;0;1;UK;D;Cinema;Acteur;Acteur de film;0;1950;Europeen;There will be blood;0;
201;Daniel;Radcliffe;M;20-40;1;0;1;UK;D;Cinema;Acteur;Acteur de film;0;1980;Europeen;Harry Potter;0;
202;Danii;Minogue;F;40-60;1;0;1;Australie;D;Musique;Chanteuse;Chanteuse Pop;0;1970;D'Oceanie;;0;
203;Danny;DeVito;M;60-80;1;0;1;USA;D;Cinema;Acteur;Acteur de film;0;1940;Americain du nord;Vol au dessus d'un nid de coucou;0;
204;Dany;Boon;M;40-60;1;0;1;France;D;Spectacle;humoriste;humoriste;0;1960;Europeen;;0;
205;Darren;Hayes;M;40-60;1;0;1;Australie;D;Musique;Chanteur;Chanteur Pop;0;1970;D'Oceanie;;0;
206;Dave;Gahan;M;40-60;1;0;1;UK;D;Musique;Chanteur;Chanteur Pop;0;1960;Europeen;;0;
207;Dave;Grohl;M;40-60;1;0;1;USA;D;Musique;Batteur;Batteur Rock;0;1960;Americain du nord;;0;
208;Davey;Havok;M;20-40;1;0;1;USA;D;Musique;Chanteur;Chanteur Rock;0;1970;Americain du nord;;0;
209;David;Beckham;M;20-40;1;0;1;UK;D;Sport;footballeur;footballeur national;0;1970;Europeen;;0;
