id;prenom;nom;genre;age;vivant;fiction;celebre;pays_origine;Pays_residence;domaine_metier;metier;passe_metier;proche;enfants;groupe;ecran;religion;
496;Michelle;Obama;F;40-60;1;0;1;USA;M;Politique;Epouse;Epouse president Obama;0;1960;Americain du nord;;0;
497;Mike;Tyson;M;40-60;1;0;1;USA;M;Sport;Boxeur;Boxeur poids lourd;0;1960;Americain du nord;;0;
498;Mikey;Way;M;20-40;1;0;1;USA;M;Musique;Guitariste;Guitariste bassiste;0;1980;Americain du nord;;0;
499;Miley;Cyrus;F;20-40;1;0;1;USA;M;Musique;Chanteuse;Chanteuse Pop;0;1990;Americain du nord;;0;
500;Milla;Jovovich;F;20-40;1;0;1;Ukraine;M;Mode;Mannequin;Egerie de Revlon;0;1970;Europeen;;0;
501;Miranda;Kerr;F;20-40;1;0;1;Australie;M;Mode;Mannequin;Egerie de Victoria's Secret;0;1980;D'Oceanie;;0;
502;Missy;Eliott;F;40-60;1;0;1;USA;M;Musique;Chanteuse;Chanteuse Rap;0;1970;Americain du nord;;0;
503;Mere;Theresa;F;80-120;0;0;1;Albanie;M;Religion;Guide spirituel;Sauveur des hommes;0;1910;Europeen;;0;
504;Mylene;Farmer;F;40-60;1;0;1;France;M;Musique;Chanteuse;Chanteuse Variete;0;1960;Europeen;;0;
505;Naguib;Mahfouz;M;80-120;0;0;1;Egypte;N;Art;Ecrivain;Ecrivain historique;0;1910;Africain;;0;
506;Nana;Mouskouri;F;60-80;1;0;1;Grece;N;Musique;Chanteuse;Chanteuse Jazz;0;1930;Europeen;;0;
507;Naomi;Campbell;F;40-60;1;0;1;UK;N;Mode;Mannequin;Egerie de Vogue;0;1970;Europeen;;0;
508;Natalia;Oreiro;F;20-40;1;0;1;Uruguay;N;Musique;Chanteuse;Chanteuse Pop;0;1970;Americain du sud;;0;
509;Natalia;Vodianova;F;20-40;1;0;1;Russie;N;Mode;Mannequin;Mannequin;0;1980;Europeen;;0;
510;Natalie;Imbruglia;F;20-40;1;0;1;Australie;N;Musique;Chanteuse;Chanteuse Pop;0;1970;D'Oceanie;;0;
511;Natasha;St-Pier;F;20-40;1;0;1;France;N;Musique;Chanteuse;Chanteuse Variete;0;1980;Europeen;;0;
512;Naveen;Andrews;M;40-60;1;0;1;UK;N;Cinema;Acteur;Acteur dans une serie;0;1960;Europeen;Lost;0;
513;Nelly;Furtado;F;20-40;1;0;1;Portugal;N;Musique;Chanteuse;Chanteuse Rnb;0;1980;Europeen;;0;
514;Nelson;Mandela;M;80-120;0;0;1;Afrique du sud;N;Politique;President ;President Afrique du sud;0;1910;Africain;;0;
515;Neneh;Cherry;F;40-60;1;0;1;Suede;N;Musique;Chanteuse;Chanteuse Rap;0;1960;Europeen;;0;
516;Nicki;Minaj;F;20-40;1;0;1;USA;N;Musique;Chanteuse;Chanteuse Rnb;0;1980;Americain du nord;;0;
517;Nicolas;Sarkozy;M;40-60;1;0;1;France;N;Politique;President ;President 5eme republique;0;1950;Europeen;;0;
518;Nicole;Scherzinger;F;20-40;1;0;1;USA;N;Musique;Chanteuse;Chanteuse Rnb;0;1970;Americain du nord;;0;
519;Nolwenn;Leroy;F;20-40;1;0;1;France;N;Musique;Chanteuse;Chanteuse Variete;0;1980;Europeen;;0;
520;Norah;Jones;F;20-40;1;0;1;USA;N;Musique;Chanteuse;Chanteuse Jazz;0;1970;Americain du nord;;0;
521;Notorious;Big;M;20-40;0;0;1;USA;N;Musique;Chanteur;Chanteur Rnb;0;1970;Americain du nord;;0;
522;Olivia;Newton-jones;F;60-80;1;0;1;UK;O;Musique;Chanteuse;Chanteuse Pop;0;1940;Europeen;;0;
523;Olivia;Ruiz;F;20-40;1;0;1;France;O;Musique;Chanteuse;Chanteuse Variete;0;1980;Europeen;;0;
524;Ophelie;Winter;F;20-40;1;0;1;France;O;Musique;Chanteuse;Chanteuse Pop;0;1970;Europeen;;0;
525;Oprah;Winfrey;F;40-60;1;0;1;USA;O;Cinema;presentatrice;presentatrice television;0;1950;Americain du nord;Oprah Winfrey show;0;
526;Pablo;Picasso;M;80-120;0;0;1;Espagne;P;Art;Peintre;Peintre Cubisme;0;1880;Europeen;;0;
527;Pamela;Anderson;F;40-60;1;0;1;USA;P;Cinema;Actrice;Actrice dans une serie;0;1960;Americain du nord;Alerte à Malibu;0;
528;Paris;Hilton;F;20-40;1;0;1;USA;P;Mode;Mannequin;Mannequin jet set;0;1980;Americain du nord;;0;
529;Pascal;Obispo;M;40-60;1;0;1;France;P;Musique;Chanteur;Chanteur Variete;0;1960;Europeen;;0;
530;Patricia;Kaas;F;40-60;1;0;1;France;P;Musique;Chanteuse;Chanteuse Variete;0;1960;Europeen;;0;
531;Patrick;Bruel;M;40-60;1;0;1;France;P;Musique;Chanteur;Chanteur Variete;0;1950;Europeen;;0;
